Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Hour
750-67-8428,A,Abu Dhabi,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,05/01/2019,13:08,Ewallet,522.83,4.761904762,26.1415,9,13
226-31-3081,C,Sharjah,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,08/03/2019,10:29,Cash,76.4,4.761904762,3.82,10,10
631-41-3108,A,Abu Dhabi,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,03/03/2019,13:23,Credit card,324.31,4.761904762,16.2155,7,13
123-19-1176,A,Abu Dhabi,Member,Male,Health and beauty,58.22,8,23.288,489.048,27/01/2019,20:33,Ewallet,465.76,4.761904762,23.288,8,20
373-73-7910,A,Abu Dhabi,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,08/02/2019,10:37,Ewallet,604.17,4.761904762,30.2085,5,10
699-14-3026,C,Sharjah,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,25/03/2019,18:30,Ewallet,597.73,4.761904762,29.8865,4,18
355-53-5943,A,Abu Dhabi,Member,Female,Electronic accessories,68.84,6,20.652,433.692,25/02/2019,14:36,Ewallet,413.04,4.761904762,20.652,6,14
315-22-5665,C,Sharjah,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,24/02/2019,11:38,Ewallet,735.6,4.761904762,36.78,8,11
665-32-9167,A,Abu Dhabi,Member,Female,Health and beauty,36.26,2,3.626,76.146,10/01/2019,17:15,Credit card,72.52,4.761904762,3.626,7,17
692-92-5582,B,Dubai,Member,Female,Food and beverages,54.84,3,8.226,172.746,20/02/2019,13:27,Credit card,164.52,4.761904762,8.226,6,13
351-62-0822,B,Dubai,Member,Female,Fashion accessories,14.48,4,2.896,60.816,06/02/2019,18:07,Ewallet,57.92,4.761904762,2.896,4,18
529-56-3974,B,Dubai,Member,Male,Electronic accessories,25.51,4,5.102,107.142,09/03/2019,17:03,Cash,102.04,4.761904762,5.102,7,17
365-64-0515,A,Abu Dhabi,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,12/02/2019,10:25,Ewallet,234.75,4.761904762,11.7375,7,10
252-56-2699,A,Abu Dhabi,Normal,Male,Food and beverages,43.19,10,21.595,453.495,07/02/2019,16:48,Ewallet,431.9,4.761904762,21.595,8,16
829-34-3910,A,Abu Dhabi,Normal,Female,Health and beauty,71.38,10,35.69,749.49,29/03/2019,19:21,Cash,713.8,4.761904762,35.69,6,19
299-46-1805,B,Dubai,Member,Female,Sports and travel,93.72,6,28.116,590.436,15/01/2019,16:19,Cash,562.32,4.761904762,28.116,4,16
656-95-9349,A,Abu Dhabi,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,11/03/2019,11:03,Credit card,482.51,4.761904762,24.1255,5,11
765-26-6951,A,Abu Dhabi,Normal,Male,Sports and travel,72.61,6,21.783,457.443,01/01/2019,10:39,Credit card,435.66,4.761904762,21.783,7,10
329-62-1586,A,Abu Dhabi,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,21/01/2019,18:00,Credit card,164.01,4.761904762,8.2005,9,18
319-50-3348,B,Dubai,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,11/03/2019,15:30,Ewallet,80.6,4.761904762,4.03,4,15
300-71-4605,C,Sharjah,Member,Male,Electronic accessories,86.04,5,21.51,451.71,25/02/2019,11:24,Ewallet,430.2,4.761904762,21.51,5,11
371-85-5789,B,Dubai,Normal,Male,Health and beauty,87.98,3,13.197,277.137,05/03/2019,10:40,Ewallet,263.94,4.761904762,13.197,5,10
273-16-6619,B,Dubai,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,15/03/2019,12:20,Credit card,66.4,4.761904762,3.32,4,12
636-48-8204,A,Abu Dhabi,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,17/02/2019,11:15,Ewallet,172.8,4.761904762,8.64,10,11
549-59-1358,A,Abu Dhabi,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,02/03/2019,17:36,Ewallet,265.89,4.761904762,13.2945,6,17
227-03-5010,A,Abu Dhabi,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,22/03/2019,19:20,Credit card,420.72,4.761904762,21.036,8,19
649-29-6775,B,Dubai,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,08/02/2019,15:31,Cash,33.52,4.761904762,1.676,7,15
189-17-4241,A,Abu Dhabi,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,10/03/2019,12:17,Credit card,175.34,4.761904762,8.767,8,12
145-94-9061,B,Dubai,Normal,Female,Food and beverages,88.36,5,22.09,463.89,25/01/2019,19:48,Cash,441.8,4.761904762,22.09,10,19
848-62-7243,A,Abu Dhabi,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,15/03/2019,15:36,Cash,224.01,4.761904762,11.2005,7,15
871-79-8483,B,Dubai,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,25/02/2019,19:39,Credit card,470.65,4.761904762,23.5325,5,19
149-71-6266,B,Dubai,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,28/01/2019,12:43,Cash,702.63,4.761904762,35.1315,4,12
